text,label,intent_layer,language,tool,action,condition,prediction,autonomous
Schedule a demo if the lead responds positively,context_aware,2,en,CALENDAR,create_event,trigger_condition,,False
Automatically log all customer calls to HubSpot,autonomous,4,en,CRM,update_record,,,True
Prepare the monthly report before the all-hands,predictive,3,en,ANALYTICS,fetch_report,,prediction_window,False
Alert the DevOps team before the maintenance window,predictive,3,en,WORKFLOW,execute,,prediction_window,False
Schedule a call after the proposal is sent,context_aware,2,en,CALENDAR,create_event,trigger_condition,,False
Registra la chiamata in Salesforce,basic,1,it,CRM,update_record,,,False
Otpravit ezhenedelnyy otchet komande,basic,1,ru,EMAIL,send_message,,,False
Reserver un appel avec le client,basic,1,fr,WORKFLOW,execute,,,False
Summarise the client call,basic,1,en,AI,summarise,,,False
Planifier un appel quand le client repond,context_aware,2,fr,CALENDAR,create_event,trigger_condition,,False
Remind the team before the sprint deadline,predictive,3,en,WORKFLOW,execute,,prediction_window,False
Enregistrer l appel dans Salesforce,basic,1,fr,CRM,update_record,,,False
发送每周报告给团队,basic,1,zh,WORKFLOW,execute,,,False
Otpravit predlozhenie o prodlenii pered istecheniem kontrakta,predictive,3,ru,EMAIL,send_message,,prediction_window,False
Pianifica una riunione del consiglio per martedi,basic,1,it,CALENDAR,create_event,,,False
Send the agenda for tomorrow's meeting,basic,1,en,EMAIL,send_message,,,False
Post the results to the channel,basic,1,en,COMMS,post_message,,,False
جدولة اجتماع مراجعة بعد العرض التقديمي,context_aware,2,ar,WORKFLOW,execute,trigger_condition,,False
انشاء تذكرة جيرا لخطا تسجيل الدخول,basic,1,ar,TASKS,create_ticket,,,False
Automatically send the customer a satisfaction survey after every delivery,autonomous,4,en,EMAIL,send_message,,,True
合同签署后发送报告给客户,context_aware,2,zh,WORKFLOW,execute,trigger_condition,,False
Zaregistrirovat zvonok v Salesforce,basic,1,ru,CRM,update_record,,,False
Atualizar automaticamente o Salesforce apos cada ligacao de vendas,autonomous,4,pt,CRM,update_record,,,True
